review	length of text	sentiment
I was very displeased with this move. Everything was terrible from the start. The comedy was unhumorous, the action overdone, the songs unmelodious. Even the storyline was weightless. From a writer who has written successful scripts like Guru and Dhoom, I had high expectations. The actors worked way too hard and did not help the film at all. Of course, Kareena rocked the screen in a bikini but for two seconds. I think Hindi stunt directors should research how action movies are done. They tend to exaggerate way too much. In Chinese films, this style works because that is their signature piece. But, Hindi cinema's signature are the songs. A good action movie should last no more than two hours and cannot look unrealistic. But, in the future, I'm sure these action movies will get much sharper. Also to be noted: Comedy and action films do not mix unless done properly. Good Luck next time.	896	negative
Eric Rohmer's 'The Lady and the Duke' is based on the journals of an English aristocrat who lived through the French revolution. But it's a stilted affair, with its strange, painted backdrops and mannered conversational tone. Most notably, this portrait of age of terror takes place almost entirely at one remove from the real action; one sees very little of ordinary people in this movie, and little of the chaos, poverty and terror that unfolded away from the drawing rooms of the persecuted, but spoilt, aristocratic classes. The result is frequently dull, and ultimately unenlightening about the forces that sometimes drive societies to the brink of destruction; it's a disappointing film from an acclaimed director.	720	negative
OK, first of all, who in their right mind would remake Hitchcock and second, who would do it shot for shot? I admit I had no intention of ever watching this movie for that very reason. The original Psycho is one of my favorite films ever and this just seemed like a degrading photocopy of it. I did watch it because my girlfriend wanted to compare it to the original and we both agreed less than five minutes into this crap that it was awful. First, as mentioned, they did it shot for shot. Where's originality? Why remake a movie that is almost perfect EXACTLY the way it was done the first time? Why remake such a movie to begin with? If you ARE going to remake something, remake something that doesn't work and make it BETTER!<br /><br />Second, they used the exact same script from the 1960 version. The dialog no longer works. It works fine and sounds perfect for the 1960 version, but seems odd and stilted coming out of modern actors. Why not update the dialog? Hitch didn't write the script, you could have rewritten. <br /><br />This film had some very good talent and they were wasted by imitation of the original actors. The actor who played the car salesman seemed like he was just playing John Anderson's performance as the car salesman in the original. All the actors seemed like the only direction they were given was be the characters from the original movie. Vince Vaughn may have seemed a little creepier than Anthony Perkins, but in doing so, you loose the sympathy you are supposed to have for Norman. Having Norman masturbate while watching Marion undress was going too far and lost the innocence of the character that I think Tony Perkins captured so well in his performance. Viggo Mortensen's accent was annoying and Rita Wilson was far too old to play Caroline. Her lines came off as someone desperate rather than just young and fun like Patricia Hitchcock's performance. <br /><br />The only good thing I saw about the film was that Gus Van Sant was able to open the movie with the shot Hitch had envisioned. Hitch wanted to open with 1 long shot going over Phoenix but couldn't at the time so he had to settle for a series of shots cross-dissolved together. This film fulfilled that vision with a helicopter shot going into the window of the hotel. After that, though the film became a worthless waste of celluloid. <br /><br />If you are curious about how to destroy a wonderful film, watch this, but do NOT under any circumstances watch this BEFORE you watch the original. This is a faded photocopy of the original and should never have been green-lit. Stick to the master's film, not the imitation.	2627	negative
"For their credit, this is one of their more competent pieces of trash, and that's because there's considerably good gore, and an interesting take on ripping off ""Snakes on a Plane."" But, if there's any more of example of the inconsistency behind Asylum's newest rip-off it's the two characters at the beginning whom are illegal immigrants and can't understand nor speak English to a Texas man sneaking them across the border, yet when they get on a train and meet a friend, they begin understanding and speaking perfect English.<br /><br />Aside from being a pretty bad depiction of a Hollywood formula, ""Snakes on a Train"" is utterly boring. At least, with ""Snakes on a Plane"" we were given the chance to watch actors wax comedic and attempt to be remotely interesting. The Mallachi Brothers installment features some of the most boring characters I've ever seen, from an electrical engineer (gee, I wonder how he comes in handy later on), to some stoner surfers, right down to our two main characters attempting to fight off the snake curse that lurks in the husband's wife.<br /><br />""Snakes"" is never entertaining, and even when it's very gory, it's still never as good as it has the chance to be, because ""Snakes"" could have been a funny short film, and instead just takes itself much too seriously, and never camps it up at any moment. Instead of taking their small budget and making original films that can set a precedent, they instead force their small budget to work against them in these knock offs. While the Mallachi brothers seem to be trying, the train just looks incredibly artificial.<br /><br />It seems almost like a stage play with these inconsistent and awfully bland set pieces that try desperately to look like actual train cars, while every so often it shakes, the background of the windows are blurred, and the sound effects go off every now and then to let us know they're actually on a train; not to mention that in such a large extended train there only seems to be about ten passengers on it. And beyond the train fight, and a drawn out sex scene, we're forced to be subjected to a plot that makes zero sense. And not even the directors can work around the fact that the ""lethal"" snakes that go on this train look far from venomous or dangerous.<br /><br />The rest of the film staggers onto only about a minute of snake carnage and a bad subplot of an ex drug agent trying to molest a passenger. All of this dull exposition ends with a really ridiculous climax in which a poorly computer generated snake (I saw better animation on the Super Nintendo) completely swallows the train whole, and is then dispensed in a method that should have been exercised from the very beginning. Asylum scores again.<br /><br />Asylum scores yet again with a hackneyed, lazy, horribly directed, and boring rip-off of another better film. ""Snakes on a Train"" takes itself way too seriously, and that's why it's never entertaining or memorable."	2956	negative
"This was recommended to me by a friend that said it was cute and cuddly for a ""lesbian sexuality Flick"". Boy was he wrong. I guess he just didn't get it. Growing up not understanding and then discovering yourself thru trial and tribulation is more like it.<br /><br />The characters are full and vibrant and the story has enough fun thrown in thru the theater performances to keep anyone interested.<br /><br />Rachael Stirling as ""Nan"" goes thru so many tries at finding the love she desires only to find it was the one person she was scared to reveal all too, and ran out on. Johdi May as ""Flo"" was remarkable. spent a couple hours trying to recall where I've seen her before, only to discover she was The quiet sister ""Alice"" in ""Last of The Mohicans"" Luckily,I was raised in a liberal family and had no issues with trying a movie like this. So many people are missing out on flicks like this. I'm glad I took my friend's advise and tried it. But, I'm sure I enjoyed it more the he."	985	positive
I saw this for Gary Busey and Fred Williamson thinking they were buddy cops. They are but Busey is in the opening scene then doesn't show up again until like 40 minutes into the movie. Though every scene he's in is awesome. Especially when he disguises himself as a blind hobo.<br /><br />What's incredible about this movie is the plot. In the movie Fred Williamson is trying to find out who stalking and killing phone sex operators. At one point I think thats its Busey. But it turns out I'm only partly right. Busey is not the killer, but he is calling up and harassing the women over the phone. Why? I don't know. In no way is he connected to the killer, he just does it for kicks I guess.	692	negative
Ok, where do we start with this little gem? Mutant slugs begin to take over a small New England (?) town. Only one man can stop them... and that man... is Mike Brady! Now, if that wasn't laughable enough, stay tuned.<br /><br />The footage of the slugs is what's known as stock footage. No matter who the slugs attack or where they are, the same shot of piles of slugs oozing everywhere is shown. Keep in mind, this singular shot occupies at least half the movie.<br /><br />The acting in the movie was knock down, drag out, steal your wallet, punch your girlfriend, kill your dog, BAD. I'm sure there's worse, but you're going to be hard pressed to find it. The only gem was... you guessed it.... MIKE BRADY! He must have taken a few night classes at the YMCA, because he was the best in the bunch.<br /><br />As for horror? This film is not to be taken seriously. There isn't horror! They're slugs for crying out loud. The entire rising action could have been avoided with a salt shaker or two. Only watch this film in a MST3K type environment, otherwise I can see some major damage to the brain.	1098	negative
"Stephen King adaptation (scripted by King himself) in which a young family, newcomers to rural Maine, find out about the pet cemetery close to their home. The father (Dale Midkiff) then finds out about the Micmac burial ground beyond the pet cemetery that has powers of resurrection - only of course anything buried there comes back not quite RIGHT.<br /><br />Below average ""horror"" picture starts out clumsy, insulting, and inept, and continues that way for a while, with the absolute worst element being Midkiff's worthless performance. It gets a little better toward the end, with genuinely disturbing finale. In point of fact, the whole movie is really disturbing, which is why I can't completely dismiss it - at least it has SOMETHING to make it memorable. Decent supporting performances by Fred Gwynne, as the wise old aged neighbor, and Brad Greenquist, as the disfigured spirit Victor Pascow are not enough to really redeem film.<br /><br />King has his usual cameo as the minister.<br /><br />Followed by a sequel also directed by Mary Lambert (is it any wonder that she's had no mainstream film work since?).<br /><br />4/10"	1135	negative
"Normally, I don't like Chuck Norris films. I appreciate his work as a martial artist, and his fight scenes are usually fairly well-choreographed. Chuck is undeniably one of the martial arts greats. So, in my local used bookstore, I found a film I hadn't seen before and took it home.<br /><br />While the acting in this movie was worse than most Chuch Norris films, I was hoping to see at least one fight scene. I quickly began to realize that this wasn't a typical Chuch Norris film; rather it was a Christian film, destined to illustrate the ""good will win out"" paradigm.<br /><br />There is really nothing on the packaging to indicate that this is a Christian film, with the exception of the label ... Goodtimes Entertainment, which I had never heard of before. I'll certainly keep that in mind the next time I see a film from that company.<br /><br />I don't have a problem with Christianity ... I do have a problem with sneaky proselytizing. If someone is going to make a religious film, at least have the good sense to indicate to the viewer that such is what they will get. The only redeeming part about the exercise is that I spent only $3.25 to spend 97 minutes to watch a great martial artist not fight. At least it was during supper-time, and I spent some of that cooking and eating.<br /><br />In short, if you're looking for a mediocre martial arts film, and not hoping for much, don't bother with this film because it doesn't even offer that."	1456	negative
Don Wilson stars as Jack Cutter (Ooh real tough name!)a vampire slayer who goes up against a vampire army, you see the story is a little different because vampires can't be killed with silver, crosses or sunlight but rather through snapping their necks (How convenient as it cuts down on the budget) and it's here Cutter runs into a reporter (Melanie Smith of Trancers III fame) Night Hunter's action sequences shake for no reason during the fight sequences and although it's meant to emphasize the mood, it just makes the movie more jarring. What is worse is that these fight sequences are botched beyond belief as Wilson's martial artistry is disguised by disjointed editing. Of course the most interest comes from the fact that indeed this predates Blade, however the problem is that this was done on a small budget and that it had Don Wilson in it. It's from Roger Corman and basically this turkey is a movie most people would pay NOT to see. I unfortunately am a bottom feeder and I cater to the section of the store looking for gems, in this line of work you always run into turds. With Night Hunter, I just may have the world's stinkiest turd.<br /><br />1/2* out of 4-(Awful)	1183	negative
